id,headline,country,label,headline_clean,sentiment_polarity,sentiment_score,emotional_intensity,subjectivity,framing_score,loaded_language,loaded_binary,framing_norm,bias_index
1,0% salary hike even after great performance? Employee reveals: ‘Was told I hit…’,India,Sensational/Clickbait,0 salary hike even after great performance employee reveals was told i hit,positive,0.6249,0.6249,0.75,1,yes,1,0.499999750000125,0.681214950000025
2,Learjet 45: The jet Ajit Pawar took for his final ride,India,Human-Interest,learjet 45 the jet ajit pawar took for his final ride,neutral,0.0,0.0,1.0,0,no,0,0.0,0.35
3,Lead the next wave of consumer businesses with IIM Calcutta’s Executive Programme in Integrated Retail Management (EPIRM),India,Promotional,lead the next wave of consumer businesses with iim calcuttas executive programme in integrated retail management epirm,neutral,0.0,0.0,0.0,0,no,0,0.0,0.0
4,CUET UG 2026 registration ends in two days: How to apply before deadline and what comes after,India,Neutral/Factual,cuet ug 2026 registration ends in two days how to apply before deadline and what comes after,neutral,0.0,0.0,0.0,0,no,0,0.0,0.0
5,Employee who was denied WFH by boss due to loss of collaboration opportunities quips: ‘The only collaboration I experience is…’,India,Human-interest,employee who was denied wfh by boss due to loss of collaboration opportunities quips the only collaboration i experience is,negative,-0.3818,0.3818,0.6875,1,yes,1,0.499999750000125,0.5742549500000249
6,"UP farmer accident scheme: Over 1 lakh farmers receive financial aid, digitization boosts transparency",India,Neutral/Factual,up farmer accident scheme over 1 lakh farmers receive financial aid digitization boosts transparency,negative,-0.2023,0.2023,0.0,0,no,0,0.0,0.07080499999999999
7,How we search internet is changing again as Google turns search into a conversation,India,Neutral/Factual,how we search internet is changing again as google turns search into a conversation,neutral,0.0,0.0,0.0,0,no,0,0.0,0.0
8,'El dorado' of Peru: Here workers get paid in all the gold they can carry on the payday at the world's highest town,India,Sensational/Clickbait,el dorado of peru here workers get paid in all the gold they can carry on the payday at the worlds highest town,neutral,0.0,0.0,0.0,0,no,0,0.0,0.0
9,Balika Vadhu star’s brand gets an offer of Rs 1.8 crore investment from Shark Tank judges. Who is Neha Marda?,India,Sensational/Clickbait,balika vadhu stars brand gets an offer of rs 18 crore investment from shark tank judges who is neha marda,neutral,0.0,0.0,0.0,0,no,0,0.0,0.0
10,"CM Yogi Adityanath addresses public grievances during Janata Darshan, vows action against land mafia",India,Neutral/Factual,cm yogi adityanath addresses public grievances during janata darshan vows action against land mafia,negative,-0.3612,0.3612,0.0833333333333333,0,no,0,0.0,0.15558666666666665
